date,feature_index,NO2
2021-03-20T00:00:00.000Z,0,5.387656819948461E-5
2021-03-25T00:00:00.000Z,0,7.96092490418232E-5
2021-03-23T00:00:00.000Z,0,6.845755051472224E-5
2021-03-19T00:00:00.000Z,0,4.5536793550127186E-5
2021-03-24T00:00:00.000Z,0,9.199911073665135E-5
2021-03-22T00:00:00.000Z,0,8.881363563969816E-5
2021-02-19T00:00:00.000Z,0,6.173489600769244E-5
2021-02-15T00:00:00.000Z,0,7.517854620735826E-5
2021-02-17T00:00:00.000Z,0,5.5235040690604364E-5
2021-02-21T00:00:00.000Z,0,3.1443586032345105E-5
2021-02-14T00:00:00.000Z,0,
2021-02-20T00:00:00.000Z,0,
2021-02-16T00:00:00.000Z,0,5.887360982472144E-5
2021-02-18T00:00:00.000Z,0,6.681812798584967E-5
2021-05-25T00:00:00.000Z,0,4.111368525627768E-5
2021-05-21T00:00:00.000Z,0,3.4798318665707484E-5
2021-05-24T00:00:00.000Z,0,3.0186559342837427E-5
2021-05-26T00:00:00.000Z,0,2.349746559307927E-5
2021-05-22T00:00:00.000Z,0,5.230431127399372E-5
2021-05-28T00:00:00.000Z,0,4.000369517598301E-5
2021-05-27T00:00:00.000Z,0,2.4449778720736504E-5
2021-05-23T00:00:00.000Z,0,4.827410157304257E-5
2021-03-04T00:00:00.000Z,0,
2021-03-05T00:00:00.000Z,0,8.777591574471444E-5
2021-03-03T00:00:00.000Z,0,
2021-03-08T00:00:00.000Z,0,
2021-03-09T00:00:00.000Z,0,4.865740872143457E-5
2021-03-02T00:00:00.000Z,0,
2021-03-06T00:00:00.000Z,0,
2021-03-07T00:00:00.000Z,0,
2021-06-17T00:00:00.000Z,0,
2021-06-21T00:00:00.000Z,0,1.0003688385040732E-4
2021-06-18T00:00:00.000Z,0,5.119301134142846E-5
2021-06-19T00:00:00.000Z,0,3.857492917328879E-5
2021-06-14T00:00:00.000Z,0,
2021-06-20T00:00:00.000Z,0,
2021-06-15T00:00:00.000Z,0,
2021-06-16T00:00:00.000Z,0,1.1411368063818372E-5
2021-06-11T00:00:00.000Z,0,3.05324922789753E-5
2021-06-08T00:00:00.000Z,0,3.776601416965215E-5
2021-06-10T00:00:00.000Z,0,4.489366269159031E-5
2021-06-13T00:00:00.000Z,0,2.7585367141520173E-5
2021-06-07T00:00:00.000Z,0,7.696241664234549E-5
2021-06-06T00:00:00.000Z,0,2.55626806132828E-5
2021-06-09T00:00:00.000Z,0,5.4953278907175574E-5
2021-06-12T00:00:00.000Z,0,4.3113132310931436E-5
2021-03-14T00:00:00.000Z,0,
2021-03-15T00:00:00.000Z,0,1.0911908429989126E-4
2021-03-12T00:00:00.000Z,0,3.5950483227982964E-5
2021-03-16T00:00:00.000Z,0,
2021-03-17T00:00:00.000Z,0,6.865052910143277E-6
2021-03-13T00:00:00.000Z,0,
2021-03-11T00:00:00.000Z,0,
2021-03-10T00:00:00.000Z,0,5.637904178001918E-5
2021-03-30T00:00:00.000Z,0,3.343190519444761E-5
2021-04-01T00:00:00.000Z,0,6.742161440342898E-5
2021-03-27T00:00:00.000Z,0,
2021-03-31T00:00:00.000Z,0,1.2291837992961518E-4
2021-03-28T00:00:00.000Z,0,5.1540875574573874E-5
2021-03-29T00:00:00.000Z,0,
2021-03-26T00:00:00.000Z,0,
2021-04-02T00:00:00.000Z,0,3.67159988984765E-5
2021-04-11T00:00:00.000Z,0,3.3754212871337164E-5
2021-04-17T00:00:00.000Z,0,3.094940481267778E-5
2021-04-15T00:00:00.000Z,0,4.558319506031694E-5
2021-04-12T00:00:00.000Z,0,1.26636207925104E-4
2021-04-16T00:00:00.000Z,0,3.5405898959847294E-5
2021-04-13T00:00:00.000Z,0,
2021-04-14T00:00:00.000Z,0,
2021-04-18T00:00:00.000Z,0,2.9097174124867058E-5
2021-05-04T00:00:00.000Z,0,2.795056995334259E-5
2021-04-28T00:00:00.000Z,0,5.923781282035634E-5
2021-04-27T00:00:00.000Z,0,3.1310657245090366E-5
2021-05-02T00:00:00.000Z,0,2.1834232679144145E-5
2021-05-03T00:00:00.000Z,0,2.9829160991669467E-5
2021-05-01T00:00:00.000Z,0,4.01450706704054E-5
2021-04-30T00:00:00.000Z,0,
2021-04-29T00:00:00.000Z,0,3.240489218114817E-5
2021-05-18T00:00:00.000Z,0,4.523861053502724E-5
2021-05-20T00:00:00.000Z,0,2.8833448232035154E-5
2021-05-16T00:00:00.000Z,0,
2021-05-17T00:00:00.000Z,0,3.7447344022273846E-5
2021-05-14T00:00:00.000Z,0,1.647952108539487E-5
2021-05-19T00:00:00.000Z,0,
2021-05-15T00:00:00.000Z,0,2.3583744223287795E-5
2021-05-13T00:00:00.000Z,0,2.0825468668177066E-5
2021-06-04T00:00:00.000Z,0,1.9761998828471405E-5
2021-05-30T00:00:00.000Z,0,4.85728814965114E-5
2021-05-31T00:00:00.000Z,0,7.123296580340883E-5
2021-06-02T00:00:00.000Z,0,4.064760975909719E-5
2021-06-03T00:00:00.000Z,0,2.6155006058356127E-5
